district,person_id,councildist,last_name,first_name,photo_url,facebook_url,twitter_url,twitter_handle,instagram_url,instagram_handle,party,title,gender,city_council_url,city_council_committees_url,city_council_legislation_url,city_council_council_calendar_url
35,7628,NYCC35,Cumbo,Laurie,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-35.jpg,https://www.facebook.com/CMLaurieCumbo,https://twitter.com/cmlauriecumbo,cmlauriecumbo,https://www.instagram.com/cmlauriecumbo/,cmlauriecumbo,democrat,majority-leader,female,https://council.nyc.gov/district-35,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
36,7604,NYCC36,Cornegy,Robert,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-36.jpg,https://www.facebook.com/CouncilMemberRobertCornegy,https://twitter.com/RobertCornegyJr,RobertCornegyJr,https://www.instagram.com/rcornegyjr/,rcornegyjr,democrat,council-member,male,https://council.nyc.gov/district-36,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
37,7630,NYCC37,Espinal,Rafael,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-37.jpg,https://www.facebook.com/RafaelLEspinaljr,https://twitter.com/rlespinal,rlespinal,https://www.instagram.com/rlespinal/,rlespinal,democrat,council-member,male,https://council.nyc.gov/district-37,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
38,7636,NYCC38,Menchaca,Carlos,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-38.jpg,https://www.facebook.com/Menchaca.Carlos.Jr,https://twitter.com/cmenchaca,cmenchaca,https://www.instagram.com/menchaca/,menchaca,democrat,council-member,male,https://council.nyc.gov/district-38,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
39,7566,NYCC39,Lander,Brad,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-39.jpg,https://www.facebook.com/BradLander,https://twitter.com/bradlander,bradlander,https://www.instagram.com/brad.lander/,brad.lander,democrat,council-member,male,https://council.nyc.gov/district-39,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
40,7113,NYCC40,Eugene,Mathieu,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-40.jpg,https://www.facebook.com/mathieu.eugene.50,https://twitter.com/CMMathieuEugene,CMMathieuEugene,https://www.instagram.com/cmmathieueugene/,cmmathieueugene,democrat,council-member,male,https://council.nyc.gov/district-40,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
41,7747,NYCC41,Ampry-Samuel,Alicka,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-41.jpg,https://www.facebook.com/alicka.amprysamuel,https://twitter.com/alickasamuel,alickasamuel,https://www.instagram.com/alicka_ampry_samuel41/,alicka_ampry_samuel41,democrat,council-member,female,https://council.nyc.gov/district-41,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
42,7623,NYCC42,Barron,Inez,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-42.jpg,,,,,,democrat,council-member,female,https://council.nyc.gov/district-42,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
43,7748,NYCC43,Brannan,Justin,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-43.jpg,https://www.facebook.com/JustinBrannan,https://twitter.com/JustinBrannan,JustinBrannan,https://www.instagram.com/justin.brannan/,justin.brannan,democrat,council-member,male,https://council.nyc.gov/district-43,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
44,7749,NYCC44,Yeger,Kalman,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-44.jpg,https://www.facebook.com/kalman.yeger,https://twitter.com/KalmanYeger,KalmanYeger,https://www.instagram.com/kalmanyeger/,kalmanyeger,democrat,council-member,male,https://council.nyc.gov/district-44,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
45,7571,NYCC45,Williams,Jumaane,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-45.jpg,https://www.facebook.com/jumaane.williamscouncil,https://twitter.com/JumaaneWilliams,JumaaneWilliams,https://www.instagram.com/jumaane.williams/,jumaane.williams,democrat,council-member,male,https://council.nyc.gov/district-45,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
46,7635,NYCC46,Maisel,Alan,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-46.jpg,https://www.facebook.com/Alan-Maisel-101012230083901,,,,,democrat,council-member,male,https://council.nyc.gov/district-46,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
47,7641,NYCC47,Treyger,Mark,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-47.jpg,https://www.facebook.com/CouncilMemberTreyger,https://twitter.com/marktreyger718,marktreyger718,https://www.instagram.com/marktreyger/,marktreyger,democrat,council-member,male,https://council.nyc.gov/district-47,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
48,7629,NYCC48,Deutsch,Chaim,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-48.jpg,https://www.facebook.com/people/Councilman-Chaim-Deutsch/100004765095752,https://twitter.com/ChaimDeutsch,ChaimDeutsch,https://www.instagram.com/councilmanchaimdeutsch/,councilmanchaimdeutsch,democrat,council-member,male,https://council.nyc.gov/district-48,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
49,7568,NYCC49,Rose,Deborah,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-49.jpg,https://www.facebook.com/CouncilwomanDebiRose,https://twitter.com/CMDebiRose,CMDebiRose,https://www.instagram.com/debirose821/,debirose821,democrat,council-member,female,https://council.nyc.gov/district-49,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
50,5953,NYCC50,Matteo,Steven,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-50.jpg,https://www.facebook.com/StevenMatteoSI,https://twitter.com/StevenMatteo,StevenMatteo,https://www.instagram.com/stevenmatteonyc/,stevenmatteonyc,republican,minority-leader,male,https://council.nyc.gov/district-50,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
51,7264,NYCC51,Borelli,Joe,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-51.jpg,https://www.facebook.com/joe.borelli,https://twitter.com/joeborellinyc,joeborellinyc,https://www.instagram.com/joeborellinyc/,joeborellinyc,republican,minority-whip,male,https://council.nyc.gov/district-51,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
